Polomer	h	k	B	Cp	b	z1	y1	z2	y2	x
0.0225	7.34098189	0.4656749222	0.9716353813	0.1338309812	0.062578292	13.36054365	16.01910488	-26.72108729	-32.03820976	22.5
0.03	5.574676889	0.4567917784	0.9453920854	0.170607403	0.07931661114	17.46114383	19.85251428	-34.92228766	-39.70502856	30
0.0375	4.520980889	0.44852405	0.9194755655	0.2040090199	0.09415359826	21.33115337	23.0210945	-42.66230674	-46.042189	37.5
0.045	3.823516889	0.4408436151	0.8939560012	0.2343309858	0.1072002041	24.94786714	25.58280475	-49.89573428	-51.16560951	45
0.0525	3.329532889	0.4337214495	0.8688970754	0.2618482596	0.1185740003	28.29515922	27.59679777	-56.59031844	-55.19359553	52.5
0.06	2.962639889	0.4271267781	0.8443545797	0.2868158404	0.128396727	31.36324471	29.12204478	-62.72648942	-58.24408956	60
0.0675	2.680387889	0.4210288901	0.8203767356	0.3094692139	0.1367916958	34.14813263	30.21609833	-68.29626526	-60.43219666	67.5
0.075	2.457298889	0.4153967658	0.7970036248	0.3300249815	0.1438816447	36.65100995	30.93408569	-73.3020199	-61.86817137	75
0.0825	2.277152889	0.410200419	0.7742677646	0.3486816419	0.1497866704	38.87745212	31.3279075	-77.75490423	-62.65581499	82.5
0.09	2.129132889	0.4054098642	0.7521937063	0.3656204928	0.1546227961	40.83670518	31.44568625	-81.67341036	-62.89137249	90
0.0975	2.005747889	0.4009953781	0.7307985088	0.3810066181	0.1585007141	42.54091082	31.33140866	-85.08182164	-62.66281732	97.5
0.105	1.901642889	0.3969324634	0.7100945382	0.394989932	0.1615241562	44.0041096	31.02471789	-88.00821919	-62.04943577	105
0.1125	1.812894889	0.393190406	0.6900846419	0.4077062497	0.1637909486	45.24219173	30.56099845	-90.48438346	-61.1219969	112.5
0.12	1.736556889	0.3897484738	0.6707703455	0.4192783614	0.1653903123	46.27143667	29.97136179	-92.54287334	-59.94272358	120
0.1275	1.670378889	0.3865818909	0.6521460048	0.4298170891	0.1664048027	47.10877615	29.28296294	-94.21755229	-58.56592588	127.5
0.135	1.612610889	0.3836695932	0.6342030388	0.4394223092	0.1669092445	47.7709639	28.51921567	-95.5419278	-57.03843134	135
0.1425	1.561873889	0.3809890848	0.6169283331	0.4481839303	0.1669717031	48.27453075	27.70013391	-96.54906151	-55.40026781	142.5
0.15	1.517064889	0.3785226301	0.6003075128	0.4561828163	0.1666528928	48.63520058	26.84263203	-97.27040115	-53.68526407	150
0.1575	1.477292889	0.3762533161	0.5843237922	0.4634916499	0.1660071549	48.86792752	25.96088174	-97.73585504	-51.92176348	157.5
0.165	1.441830889	0.3741647101	0.5689583865	0.4701757328	0.1650829467	48.98679266	25.06663693	-97.97358531	-50.13327386	165
0.1725	1.410079889	0.3722420797	0.5541914779	0.4762937236	0.1639231265	49.00486639	24.16953782	-98.00973278	-48.33907564	172.5
0.18	1.381542889	0.3704701334	0.5400017605	0.4818983121	0.1625657415	48.93429074	23.27740201	-97.86858149	-46.55480402	180
0.1875	1.355802889	0.3688388964	0.5263690103	0.4870368337	0.1610436664	48.7859769	22.39647445	-97.57195381	-44.7929489	187.5
