Polomer	h	k	B	Cp	b	z1	y1	z2	y2	x
0.63125	1.063093889	0.350952973	0.2537443508	0.5434383624	0.1265115488	40.65315317	12.87192717	-84.28750868	-7.002755062	631.25
0.6375	1.061871889	0.350931977	0.2514996334	0.5435095974	0.1254984829	40.35617596	12.67829651	-83.62794268	-6.758975232	637.5
0.64375	1.060682889	0.3509394554	0.2492973596	0.5435714026	0.124496667	40.06162609	12.48889325	-82.9749316	-6.522302852	643.75
0.65	1.059527889	0.3509258805	0.2471275828	0.5436240962	0.1235108664	39.77119649	12.30373699	-82.33175814	-6.29203078	650
0.65625	1.058403889	0.3509316753	0.2449967998	0.5436679935	0.1225368095	39.48346491	12.1226016	-81.69557221	-6.068347635	656.25
0.6625	1.057310889	0.3509309384	0.2428995049	0.543703389	0.1215768511	39.19928915	11.94544651	-81.0680149	-5.850797413	662.5
0.66875	1.056246889	0.3509450148	0.240838694	0.5437305709	0.1206286763	38.91791761	11.77210686	-80.44756007	-5.639392077	668.75
0.675	1.055211889	0.3509490942	0.2388091972	0.5437498098	0.1196944888	38.64015154	11.60254374	-79.8357402	-5.433703719	675
0.68125	1.054203889	0.3509674735	0.2368145189	0.5437613716	0.1187717211	38.3651494	11.43659225	-79.23085521	-5.233783802	681.25
0.6875	1.053222889	0.3509765867	0.2348498209	0.5437655055	0.1178624257	38.09365651	11.27421499	-78.63433007	-5.039231991	687.5
0.69375	1.052266889	0.3510038741	0.2329191129	0.5437624571	0.1169637825	37.82474183	11.11524685	-78.04429149	-4.850138712	693.75
0.7	1.051335889	0.3510271692	0.2310178846	0.5437524562	0.1160776926	37.55909521	10.95965181	-77.4620578	-4.666130673	700
0.70625	1.050429889	0.3510236486	0.229141656	0.5437357229	0.1152060582	37.29740447	10.80739573	-76.88894418	-4.486839166	706.25
0.7125	1.049545889	0.3510516659	0.2272995968	0.5437124801	0.1143432422	37.03776792	10.65824796	-76.3211713	-4.312655029	712.5
0.71875	1.048683889	0.3510914268	0.2254876819	0.5436829314	0.1134909186	36.780793	10.51217416	-75.7598988	-4.143244546	718.75
0.725	1.047843889	0.3511225564	0.2237019144	0.5436472722	0.1126507623	36.5270854	10.36914179	-75.2062838	-3.978278202	725
0.73125	1.047024889	0.3511528409	0.2219429967	0.5436056946	0.1118218589	36.27636108	10.22905261	-74.65973371	-3.817691002	731.25
0.7375	1.046225889	0.3511914713	0.2202118342	0.5435583834	0.1110031923	36.02830029	10.09180831	-74.11958686	-3.661433549	737.5
0.74375	1.045446889	0.3512193462	0.2185047734	0.5435055125	0.1101962867	35.78345296	9.957378837	-73.5868936	-3.509205691	743.75
0.75	1.044686889	0.3512470808	0.2168229908	0.5434472534	0.1093999996	35.54145379	9.825666956	-73.06090464	-3.360980147	750
0.75625	1.043944889	0.351286803	0.2151678643	0.5433837718	0.1086130865	35.30190187	9.696575225	-72.54080176	-3.216744904	756.25
0.7625	1.043220889	0.3513209195	0.2135360773	0.5433152224	0.1078369204	35.06529197	9.570075661	-72.0275295	-3.076228102	762.5
0.76875	1.042513889	0.3513631555	0.2119292751	0.5432417595	0.1070701299	34.8311779	9.446071615	-71.52018243	-2.939439181	768.75
0.775	1.041822889	0.3514288564	0.2103493027	0.543163532	0.106311241	34.59907794	9.324466061	-71.01778616	-2.806402507	775
0.78125	1.041148889	0.3514693205	0.2087881463	0.5430806729	0.1055642727	34.37038932	9.205303814	-70.52306268	-2.67658983	781.25
0.7875	1.040490889	0.3515000579	0.2072477809	0.5429933202	0.1048277019	34.14461129	9.088489771	-70.03500168	-2.550037598	787.5
0.79375	1.039847889	0.3515382807	0.2057303798	0.5429016081	0.1040999023	33.92120759	8.973928321	-69.55252397	-2.426796907	793.75
0.8	1.039218889	0.3516029504	0.2042383145	0.5428056671	0.1033791446	33.69960642	8.861523299	-69.07448135	-2.306933433	800
0.80625	1.038604889	0.3516447619	0.2027637366	0.5427056094	0.1026694015	33.48118477	8.751323979	-68.6035586	-2.189936452	806.25
0.8125	1.038003889	0.3517185666	0.201314397	0.5426015633	0.1019659649	33.26435116	8.643162277	-68.13660385	-2.076181303	812.5
0.81875	1.037416889	0.3517748516	0.1998825272	0.542493633	0.1012727842	33.05047271	8.537089484	-67.67628367	-1.965165512	818.75
0.825	1.036842889	0.3518349108	0.1984708826	0.5423819321	0.1005879517	32.83891409	8.433011044	-67.22132771	-1.856985818	825
0.83125	1.036281889	0.3518846555	0.1970770261	0.5422665641	0.09991246424	32.63003172	8.330906602	-66.77241632	-1.751445998	831.25
0.8375	1.035732889	0.351947493	0.1957039702	0.5421476352	0.09924428533	32.42314545	8.230681451	-66.32819246	-1.648662216	837.5
0.84375	1.035195889	0.3520103607	0.1943494436	0.542025242	0.09858433527	32.21858451	8.132315992	-65.88928417	-1.548451682	843.75
0.85	1.034670889	0.3520598671	0.19301119	0.5418994774	0.09793353583	32.01667777	8.035791697	-65.45631937	-1.450633823	850
0.85625	1.034156889	0.3521218954	0.1916925368	0.5417704384	0.09728969583	31.81669108	7.941014092	-65.02783663	-1.355349027	856.25
0.8625	1.033653889	0.3521841753	0.1903913913	0.5416382119	0.09665366021	31.61892618	7.847965199	-64.60441161	-1.262429729	862.5
0.86875	1.033161889	0.3522341331	0.1891056739	0.5415028813	0.09602627536	31.42368459	7.75662802	-64.18661994	-1.171710359	868.75
0.875	1.032679889	0.3523002947	0.1878390248	0.5413645363	0.0954051945	31.23017813	7.666908013	-63.7728957	-1.083354953	875
0.88125	1.032207889	0.3523713043	0.1865895262	0.5412232551	0.09479118668	31.03868116	7.578788539	-63.36376219	-0.9972105748	881.25
0.8875	1.031745889	0.3524355291	0.1853552725	0.5410791129	0.09418502235	30.84946792	7.492253855	-62.95974283	-0.9131260974	887.5
0.89375	1.031292889	0.3525243044	0.1841402138	0.5409321924	0.09358419811	30.6616961	7.407209053	-62.55916686	-0.8312886627	893.75
